uniquewords,ADJ-PART,words,sentences,av_word_len,ADV-VERB,would,ADJ,NOUN-PUNCT,of,test_score,confidencehedged,confidencehigh
179,1,319,16,4.75235109717868,4,0,22,13,11,1,3,1
157,3,311,17,4.52090032154341,6,1,38,18,10,1,3,1
145,1,291,18,4.94845360824742,1,0,26,24,8,0,5,8
160,1,333,9,4.32432432432432,11,1,22,12,7,0,3,3
160,0,325,8,4.41538461538462,3,0,33,11,2,0,3,3
146,1,321,12,4.41744548286604,4,0,22,14,5,0,2,0
106,1,320,18,4.43125,2,0,14,23,2,0,0,7
183,1,345,23,4.47536231884058,13,0,27,14,5,0,2,5
149,0,307,11,4.02931596091205,8,2,11,13,8,0,3,1
173,0,335,20,4.53432835820896,10,0,32,26,10,1,4,0
154,0,325,17,4.61230769230769,13,3,42,27,12,1,3,2
136,0,336,31,4.43154761904762,11,1,29,28,7,0,7,0
150,0,330,14,4.42121212121212,10,0,30,15,8,1,8,1
152,0,359,10,4.17270194986072,7,1,28,13,5,0,2,4
177,3,343,15,4.58892128279883,6,1,34,23,16,1,3,2
165,3,303,13,4.61056105610561,7,2,43,27,7,1,6,4
132,0,352,23,4.3125,8,0,27,29,3,0,12,0
131,2,300,11,4.51333333333333,3,0,12,18,6,0,9,8
117,1,285,14,4.02105263157895,3,0,13,19,3,0,3,3
157,1,340,26,4.27647058823529,10,0,28,20,2,0,7,5
147,1,354,15,4.11581920903955,15,0,26,19,10,1,6,3
147,1,298,24,4.46644295302013,11,0,25,24,5,0,7,4
127,2,358,22,4.48603351955307,13,5,30,16,6,1,8,1
164,2,324,18,4.73148148148148,6,0,20,20,16,1,2,1
147,1,335,16,4.31940298507463,7,0,43,15,3,1,10,0
156,3,307,9,4.18241042345277,11,2,24,16,3,1,5,5
164,2,423,8,4.06146572104019,13,0,31,10,2,0,5,9
162,0,312,16,4.19551282051282,8,0,21,21,12,1,6,2
153,3,326,13,4.26993865030675,10,0,20,20,2,1,2,6
115,0,308,15,4.15909090909091,3,0,21,23,6,0,1,2
167,3,351,19,5.08547008547009,16,2,60,22,12,1,8,21
149,4,311,18,4.30546623794212,8,0,30,15,14,1,3,3
